"input"	"translation"
"PSMC2_mut"	"R-HSA-4641258"
"PSMC2_mut"	"R-HSA-5610780"
"PSMC2_mut"	"R-HSA-5610783"
"PSMC2_mut"	"R-HSA-195253"
"PSMC2_mut"	"R-HSA-5688426"
"PSMC2_mut"	"R-HSA-1266738"
"PSMC2_mut"	"R-HSA-1643685"
"PSMC2_mut"	"R-HSA-5663202"
"PSMC2_mut"	"R-HSA-5619115"
"PSMC2_mut"	"R-HSA-202424"
"PSMC2_mut"	"R-HSA-1168372"
"PSMC2_mut"	"R-HSA-1236974"
"PSMC2_mut"	"R-HSA-8854050"
"PSMC2_mut"	"R-HSA-2871837"
"PSMC2_mut"	"R-HSA-2454202"
"PSMC2_mut"	"R-HSA-9793380"
"PSMC2_mut"	"R-HSA-69615"
"PSMC2_mut"	"R-HSA-69206"
"PSMC2_mut"	"R-HSA-69481"
"PSMC2_mut"	"R-HSA-69275"
"PSMC2_mut"	"R-HSA-5610785"
"PSMC2_mut"	"R-HSA-9762114"
"PSMC2_mut"	"R-HSA-9758941"
"PSMC2_mut"	"R-HSA-74160"
"PSMC2_mut"	"R-HSA-212436"
"PSMC2_mut"	"R-HSA-162906"
"PSMC2_mut"	"R-HSA-5610787"
"PSMC2_mut"	"R-HSA-5632684"
"PSMC2_mut"	"R-HSA-5358346"
"PSMC2_mut"	"R-HSA-5387390"
"PSMC2_mut"	"R-HSA-5362768"
"PSMC2_mut"	"R-HSA-162909"
"PSMC2_mut"	"R-HSA-168256"
"PSMC2_mut"	"R-HSA-5663205"
"PSMC2_mut"	"R-HSA-168249"
"PSMC2_mut"	"R-HSA-446652"
"PSMC2_mut"	"R-HSA-9020702"
"PSMC2_mut"	"R-HSA-9006925"
"PSMC2_mut"	"R-HSA-9755511"
"PSMC2_mut"	"R-HSA-68886"
"PSMC2_mut"	"R-HSA-5683057"
"PSMC2_mut"	"R-HSA-5684996"
"PSMC2_mut"	"R-HSA-5687128"
"PSMC2_mut"	"R-HSA-1430728"
"PSMC2_mut"	"R-HSA-8953854"
"PSMC2_mut"	"R-HSA-71291"
"PSMC2_mut"	"R-HSA-351202"
"PSMC2_mut"	"R-HSA-392499"
"PSMC2_mut"	"R-HSA-68882"
"PSMC2_mut"	"R-HSA-453279"
"PSMC2_mut"	"R-HSA-453274"
"PSMC2_mut"	"R-HSA-2555396"
"PSMC2_mut"	"R-HSA-5676590"
"PSMC2_mut"	"R-HSA-8951664"
"PSMC2_mut"	"R-HSA-9604323"
"PSMC2_mut"	"R-HSA-9675108"
"PSMC2_mut"	"R-HSA-6798695"
"PSMC2_mut"	"R-HSA-9759194"
"PSMC2_mut"	"R-HSA-68949"
"PSMC2_mut"	"R-HSA-1234176"
"PSMC2_mut"	"R-HSA-4086400"
"PSMC2_mut"	"R-HSA-1257604"
"PSMC2_mut"	"R-HSA-6807070"
"PSMC2_mut"	"R-HSA-597592"
"PSMC2_mut"	"R-HSA-5357801"
"PSMC2_mut"	"R-HSA-5673001"
"PSMC2_mut"	"R-HSA-73857"
"PSMC2_mut"	"R-HSA-8939236"
"PSMC2_mut"	"R-HSA-176408"
"PSMC2_mut"	"R-HSA-169911"
"PSMC2_mut"	"R-HSA-8948751"
"PSMC2_mut"	"R-HSA-5658442"
"PSMC2_mut"	"R-HSA-8939902"
"PSMC2_mut"	"R-HSA-8941858"
"PSMC2_mut"	"R-HSA-211733"
"PSMC2_mut"	"R-HSA-9010553"
"PSMC2_mut"	"R-HSA-450531"
"PSMC2_mut"	"R-HSA-453276"
"PSMC2_mut"	"R-HSA-350562"
"PSMC2_mut"	"R-HSA-69242"
"PSMC2_mut"	"R-HSA-187577"
"PSMC2_mut"	"R-HSA-174113"
"PSMC2_mut"	"R-HSA-2467813"
"PSMC2_mut"	"R-HSA-162582"
"PSMC2_mut"	"R-HSA-5358351"
"PSMC2_mut"	"R-HSA-449147"
"PSMC2_mut"	"R-HSA-157118"
"PSMC2_mut"	"R-HSA-9013694"
"PSMC2_mut"	"R-HSA-376176"
