Hugo_Symbol	Entrez_Gene_Id	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9
POM121C	100101267	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	1	-1	1	0	1
POM121L10P	646074	1	2	1	1	-1	-1	1	1	1	2	1	0	0	-1	0	0	1	-1	2	0	0	1	0	0	1	2	0	1	0	0	0	-1	1	1	1	1	0
POM121L12	285877	1	2	1	1	1	-1	1	1	1	1	1	0	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
POM121L1P	25812	1	2	1	1	-1	-1	1	1	1	2	1	0	0	-1	0	0	1	-1	2	0	0	1	0	0	1	2	0	1	0	0	0	-1	1	1	1	1	0
POM121L2	94026	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	-2	1	0	1	1	1	1	0	2	-1	1	2	1	-1	-1
POM121L4P	266697	1	2	1	1	-1	-1	1	1	1	2	1	0	0	-1	0	-1	1	-1	2	0	0	1	0	0	1	2	0	1	0	0	0	-1	1	1	1	1	0
POM121L8P	29797	1	2	1	1	-1	-1	1	1	1	2	1	0	0	-1	0	-1	1	-1	2	0	0	1	0	0	1	2	0	1	0	0	0	-1	1	1	1	1	0
POM121L9P	29774	1	2	1	1	-1	-1	1	1	1	2	1	0	0	-1	0	0	1	-1	2	0	0	1	0	0	1	2	0	1	0	0	0	-1	1	1	1	1	0
POMC	5443	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	-1	0	1	0
POMGNT1	55624	1	0	-2	1	1	0	1	1	0	0	1	-1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	-1	0	0	-1	0	0	-1	0	0	0	-1
POMP	51371	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	-1	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
